swi_issue_id,issue_name,Year,Quarter,lobbying_expenses
11,"Law, Crime, and Family Issues",2017,1,15844640.60605372377
11,"Law, Crime, and Family Issues",2017,4,13239905.85123565422
11,"Law, Crime, and Family Issues",2018,3,14121126.41184267934
11,"Law, Crime, and Family Issues",2019,2,12358934.12870151187
11,"Law, Crime, and Family Issues",2020,1,13310018.44153289245
11,"Law, Crime, and Family Issues",2020,4,16202618.39357394471
11,"Law, Crime, and Family Issues",2021,3,13339365.72985482783
11,"Law, Crime, and Family Issues",2022,2,12407805.38372262858
11,"Law, Crime, and Family Issues",2023,1,13859338.69494700277
12,Social Welfare,2010,3,11516122.38168840586
1,Macroeconomics,2010,1,5310626.32417647144
1,Macroeconomics,2010,4,3531260.59653912551
1,Macroeconomics,2011,3,5041235.05177241017
1,Macroeconomics,2012,2,5144827.35114390307
1,Macroeconomics,2013,1,4130751.90282548691
1,Macroeconomics,2013,4,4279418.70443870677
1,Macroeconomics,2014,3,5496968.88121547311
1,Macroeconomics,2015,2,4430575.72401993396
1,Macroeconomics,2016,1,4484261.08200942463
2,"Civil Rights, Minority Issues, and Civil Liberties",2023,4,10954079.25944951835
2,"Civil Rights, Minority Issues, and Civil Liberties",2024,3,12446624.75834322516
3,Health,2010,4,135546898.43374354475
3,Health,2011,3,137411881.48988517096
3,Health,2012,2,137963845.74379395210
3,Health,2013,1,140030081.74117065128
3,Health,2013,4,137972648.75910569839
3,Health,2014,3,130020179.17373281453
3,Health,2015,2,137439335.64132771706
3,Health,2016,1,138227058.73634650091
3,Health,2016,4,133874617.33801861064
3,Health,2017,3,147219332.09083162433
3,Health,2018,2,151163783.96531550639
3,Health,2019,1,167437299.11807525007
3,Health,2019,4,166503736.86802353128
3,Health,2020,3,172618432.51725053647
3,Health,2021,2,181827159.76200499426
3,Health,2022,1,210814855.38733842566
5,Labor and Employment,2016,4,20310860.10389036326
5,Labor and Employment,2017,3,19998933.17510233327
5,Labor and Employment,2018,2,19730442.54068181443
5,Labor and Employment,2019,1,20202202.14492564590
5,Labor and Employment,2019,4,20157729.98224320081
5,Labor and Employment,2020,3,21426578.95273674172
5,Labor and Employment,2021,2,27096670.26055679871
5,Labor and Employment,2022,1,32350031.99719439592
5,Labor and Employment,2022,4,33387861.25480081797
5,Labor and Employment,2023,3,29471066.27775319232
5,Labor and Employment,2024,2,29699015.02757935226
6,Education,2010,3,18630215.98858130503
6,Education,2011,2,20549354.18253690519
6,Education,2012,1,18228339.51202036565
6,Education,2012,4,16605884.42334842559
6,Education,2013,3,18135716.77971239758
6,Education,2014,2,18398638.29699954990
6,Education,2015,1,19247404.62381422224
7,Environment,2022,4,46905292.50773109260
7,Environment,2023,3,43387217.78467028053
7,Environment,2024,2,47641025.75974503119
8,Energy,2010,3,65828599.05516967571
8,Energy,2011,2,59134955.31374706219
8,Energy,2012,1,59447275.69610468123
8,Energy,2012,4,52678058.91507284755
8,Energy,2013,3,53495416.08933996318
8,Energy,2014,2,49307740.07732257023
8,Energy,2015,1,49574875.14357852554
8,Energy,2015,4,46836295.88562744242
8,Energy,2016,3,43809999.44657846005
8,Energy,2017,2,42783117.67672529589
8,Energy,2018,1,46116379.44346558499
8,Energy,2018,4,40880748.92768601186
8,Energy,2019,3,41153851.34674121698
8,Energy,2020,2,37565521.47016136217
8,Energy,2021,1,40686637.95653455419
10,Transportation,2015,4,58811477.84714527512
10,Transportation,2016,3,51864940.46779970026
10,Transportation,2017,2,57453156.54589890805
10,Transportation,2018,1,58935670.04374181260
10,Transportation,2018,4,55923681.98739707686
10,Transportation,2019,3,54445940.35044978801
10,Transportation,2020,2,54821484.67668849796
10,Transportation,2021,1,58094933.11734367030
10,Transportation,2021,4,62751478.27604102363
10,Transportation,2022,3,63922204.23278753210
10,Transportation,2023,2,69182971.83557537981
10,Transportation,2024,1,70916026.73179966084
11,"Law, Crime, and Family Issues",2010,2,18176214.25200866819
1,Macroeconomics,2020,4,8045923.72173977481
1,Macroeconomics,2021,3,6493390.36229243694
1,Macroeconomics,2022,2,7594429.42566437289
1,Macroeconomics,2023,1,7235974.61021408540
1,Macroeconomics,2023,4,6867751.62035180536
1,Macroeconomics,2024,3,6039793.87887770076
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,1,6105937.91940520267
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,4,8133262.92061507436
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,3,4016637.31295026754
2,"Civil Rights, Minority Issues, and Civil Liberties",2012,2,5320123.86736752313
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,1,8497093.27595279969
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,4,7991371.16829185785
2,"Civil Rights, Minority Issues, and Civil Liberties",2014,3,8308434.55804030600
2,"Civil Rights, Minority Issues, and Civil Liberties",2015,2,7064571.42167284012
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,1,6890011.03466150376
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,4,8362747.43673573126
2,"Civil Rights, Minority Issues, and Civil Liberties",2017,3,7106415.98325023631
2,"Civil Rights, Minority Issues, and Civil Liberties",2018,2,8805482.91501467195
2,"Civil Rights, Minority Issues, and Civil Liberties",2019,1,10401169.19535455039
4,Agriculture,2013,4,32229042.99614164137
4,Agriculture,2014,3,31485365.92202765275
4,Agriculture,2015,2,31265265.03531851541
4,Agriculture,2016,1,31674621.25104595622
4,Agriculture,2016,4,29119885.75169412474
4,Agriculture,2017,3,28825874.71889771569
4,Agriculture,2018,2,34718858.29551597125
4,Agriculture,2019,1,32885228.82898482640
4,Agriculture,2019,4,30894590.34579837783
4,Agriculture,2020,3,29925691.94712014593
4,Agriculture,2021,2,32666571.22593655359
4,Agriculture,2022,1,35366411.63162169158
4,Agriculture,2022,4,38009064.98366917182
4,Agriculture,2023,3,45579487.21421563120
4,Agriculture,2024,2,45666953.09782092445
5,Labor and Employment,2010,3,21536550.85336270661
5,Labor and Employment,2011,2,19511393.41642250498
5,Labor and Employment,2012,1,21656028.45265467296
6,Education,2019,4,17190372.38746505602
6,Education,2020,3,17175920.24890576541
6,Education,2021,2,19522616.18250827744
6,Education,2022,1,21711827.33251092031
6,Education,2022,4,20247156.67670361970
6,Education,2023,3,21195923.57954625241
6,Education,2024,2,23110635.85460423702
7,Environment,2010,3,56840951.66522082285
7,Environment,2011,2,50132875.89772891719
7,Environment,2012,1,51002541.58765769932
7,Environment,2012,4,49902673.10889001391
7,Environment,2013,3,43340846.43423514630
7,Environment,2014,2,44159652.47670472606
7,Environment,2015,1,45773219.83165634428
7,Environment,2015,4,43330985.72360232414
7,Environment,2016,3,38451142.72581349712
7,Environment,2017,2,36044583.31492357396
7,Environment,2018,1,38305151.03437098684
9,Immigration,2012,4,11175276.06092898986
9,Immigration,2013,3,20704447.34442266133
9,Immigration,2014,2,16589195.20525009296
9,Immigration,2015,1,13717147.53523457878
9,Immigration,2015,4,12925420.42167314900
9,Immigration,2016,3,11620180.47603367863
9,Immigration,2017,2,14412118.30829511608
9,Immigration,2018,1,17592263.24066090587
9,Immigration,2018,4,16794448.02598558891
9,Immigration,2019,3,15173023.44504184230
9,Immigration,2020,2,15103975.97018854173
9,Immigration,2021,1,16951689.60413644605
9,Immigration,2021,4,16386886.02739905617
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,2,6363050.64016823493
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,1,4993538.47959748955
3,Health,2018,4,151499102.52106324598
3,Health,2019,3,164071719.43524753073
3,Health,2020,2,177610162.19200345694
3,Health,2021,1,188603126.40280420844
3,Health,2021,4,192245522.62235208933
3,Health,2022,3,198207405.47717045868
3,Health,2023,2,195972267.82312678353
3,Health,2024,1,219597817.87801869249
3,Health,2024,4,199215619.05588279583
4,Agriculture,2021,4,31898121.75066945558
4,Agriculture,2022,3,37669966.58871540693
4,Agriculture,2023,2,45408282.32731288624
4,Agriculture,2024,1,46503892.79620360475
4,Agriculture,2024,4,44555371.96395951956
5,Labor and Employment,2010,2,24115593.82061364459
5,Labor and Employment,2011,1,16749380.93318960531
5,Labor and Employment,2011,4,21162734.45826088611
5,Labor and Employment,2012,3,18524510.12347241827
5,Labor and Employment,2013,2,17207866.23636387875
5,Labor and Employment,2014,1,17020687.93968529121
5,Labor and Employment,2014,4,17396204.05831672103
5,Labor and Employment,2015,3,17588166.67518032254
5,Labor and Employment,2016,2,21056870.19524588242
5,Labor and Employment,2017,1,22571632.23618454021
5,Labor and Employment,2017,4,22691865.11209259878
5,Labor and Employment,2018,3,20232921.71795361023
5,Labor and Employment,2019,2,19537937.70890063966
5,Labor and Employment,2020,1,22266856.74997047106
6,Education,2011,4,18661147.98158273911
6,Education,2012,3,16357600.94593151861
6,Education,2013,2,19077683.49762114148
6,Education,2014,1,19091880.82008650581
6,Education,2014,4,17702579.14635416636
6,Education,2015,3,17404028.88249805644
6,Education,2016,2,17725070.36841136526
6,Education,2017,1,17240784.64373967452
6,Education,2017,4,17649265.73679350357
6,Education,2018,3,18743066.58148740613
6,Education,2019,2,18539684.77118205397
6,Education,2020,1,18139557.77325502432
6,Education,2020,4,17251739.48618879459
6,Education,2021,3,18740673.06285256738
6,Education,2022,2,20636125.29087292654
6,Education,2023,1,21537844.66819989513
7,Environment,2010,1,64428201.39371339963
8,Energy,2010,1,75135710.47642214583
8,Energy,2010,4,66029528.60010713802
8,Energy,2011,3,55136483.06793900443
8,Energy,2012,2,53233600.34448806290
8,Energy,2013,1,52757972.24723464688
9,Immigration,2020,4,17102658.47652721438
9,Immigration,2021,3,16769854.01266635032
9,Immigration,2022,2,15810103.92367946073
9,Immigration,2023,1,15755126.03360809133
9,Immigration,2023,4,15167143.75990452954
9,Immigration,2024,3,13522025.63380136661
10,Transportation,2023,4,71879053.15753166480
10,Transportation,2024,3,62677265.63419891524
11,"Law, Crime, and Family Issues",2010,4,17985254.54930683260
11,"Law, Crime, and Family Issues",2011,3,16471819.36289298846
11,"Law, Crime, and Family Issues",2012,2,12487706.81303982721
11,"Law, Crime, and Family Issues",2013,1,12223284.35457062730
11,"Law, Crime, and Family Issues",2013,4,13566742.84343185319
11,"Law, Crime, and Family Issues",2014,3,12844390.80562636092
11,"Law, Crime, and Family Issues",2015,2,13736302.28067666679
11,"Law, Crime, and Family Issues",2016,1,14898030.69838607685
11,"Law, Crime, and Family Issues",2016,4,13224406.48545445626
11,"Law, Crime, and Family Issues",2017,3,12649652.60444181792
11,"Law, Crime, and Family Issues",2018,2,13166830.10301210141
11,"Law, Crime, and Family Issues",2019,1,12582451.26559574676
1,Macroeconomics,2012,4,5563098.49020461355
1,Macroeconomics,2013,3,4322535.08055487639
1,Macroeconomics,2014,2,4728452.05801541371
1,Macroeconomics,2015,1,4327009.08219615745
1,Macroeconomics,2015,4,3927243.61124512708
1,Macroeconomics,2016,3,4181187.90734329702
1,Macroeconomics,2017,2,4442984.10470970766
1,Macroeconomics,2018,1,4652464.55489575734
1,Macroeconomics,2018,4,5251159.72625198973
1,Macroeconomics,2019,3,4276071.44717747807
1,Macroeconomics,2020,2,8321224.78672081637
1,Macroeconomics,2021,1,7053983.33491866397
1,Macroeconomics,2021,4,6574529.08681318627
1,Macroeconomics,2022,3,7566457.45469887470
1,Macroeconomics,2023,2,7090801.96795971952
1,Macroeconomics,2024,1,7556106.03089326334
2,"Civil Rights, Minority Issues, and Civil Liberties",2015,4,6675603.98025972110
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,3,8956058.28155126673
2,"Civil Rights, Minority Issues, and Civil Liberties",2017,2,7853964.74211095655
2,"Civil Rights, Minority Issues, and Civil Liberties",2018,1,8649057.95558702532
2,"Civil Rights, Minority Issues, and Civil Liberties",2018,4,8947511.24484581431
2,"Civil Rights, Minority Issues, and Civil Liberties",2019,3,10052915.72605708658
2,"Civil Rights, Minority Issues, and Civil Liberties",2020,2,10933852.69617945650
2,"Civil Rights, Minority Issues, and Civil Liberties",2021,1,13512949.82160634324
2,"Civil Rights, Minority Issues, and Civil Liberties",2021,4,13796089.30444149725
2,"Civil Rights, Minority Issues, and Civil Liberties",2022,3,15429971.07133680883
2,"Civil Rights, Minority Issues, and Civil Liberties",2023,2,11418002.75921122452
2,"Civil Rights, Minority Issues, and Civil Liberties",2024,1,12119558.09131419342
2,"Civil Rights, Minority Issues, and Civil Liberties",2024,4,11473675.91773574590
3,Health,2010,2,138880970.73953503503
3,Health,2011,1,141992817.70661784072
3,Health,2011,4,140633708.20758266298
3,Health,2012,3,129910463.33199014511
3,Health,2013,2,131210199.90009780692
3,Health,2014,1,139599764.67862748936
4,Agriculture,2010,2,31180498.28920199912
4,Agriculture,2011,1,28688598.33088765304
4,Agriculture,2011,4,29294567.89164433879
4,Agriculture,2012,3,32870794.81412647758
4,Agriculture,2013,2,34818724.43716472778
4,Agriculture,2014,1,33049370.36443414706
4,Agriculture,2014,4,34074869.03129129832
4,Agriculture,2015,3,30650248.04659347201
4,Agriculture,2016,2,32244521.57528722486
4,Agriculture,2017,1,31366190.00607963418
5,Labor and Employment,2024,4,29843996.75593766339
7,Environment,2014,4,44120865.53356680801
7,Environment,2015,3,42182122.05158907757
7,Environment,2016,2,41335634.40382581272
7,Environment,2017,1,40501901.27642814487
7,Environment,2017,4,36400750.96996807641
7,Environment,2018,3,37889961.79713880943
7,Environment,2019,2,36583984.84012776643
7,Environment,2020,1,41928088.19264628894
7,Environment,2020,4,39291334.75028591202
7,Environment,2021,3,42060989.22577342572
7,Environment,2022,2,43012722.66328787781
7,Environment,2023,1,47279295.11076198134
7,Environment,2023,4,49605455.21797002189
7,Environment,2024,3,48374970.72811716869
8,Energy,2017,4,44494241.77017469344
8,Energy,2018,3,41897746.35733997664
8,Energy,2019,2,43387974.99813344256
8,Energy,2020,1,45357582.99289017237
8,Energy,2020,4,38963489.24674368278
8,Energy,2021,3,46539192.92502632192
8,Energy,2022,2,52168148.27378803660
8,Energy,2023,1,60290188.05856913755
1,Macroeconomics,2024,4,6488079.92072567233
2,"Civil Rights, Minority Issues, and Civil Liberties",2010,3,6791407.39111650709
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,2,4904581.17052683273
2,"Civil Rights, Minority Issues, and Civil Liberties",2012,1,4753403.17197710195
2,"Civil Rights, Minority Issues, and Civil Liberties",2012,4,5152620.53625547552
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,3,7673815.06942138504
2,"Civil Rights, Minority Issues, and Civil Liberties",2014,2,9206751.12649210747
2,"Civil Rights, Minority Issues, and Civil Liberties",2015,1,6735013.84728539412
3,Health,2010,1,160375026.76022000536
4,Agriculture,2010,3,29546613.27803459678
4,Agriculture,2011,2,29799687.15698080857
4,Agriculture,2012,1,31884099.67429305868
4,Agriculture,2012,4,31123337.09813411839
4,Agriculture,2013,3,32921079.70735887885
4,Agriculture,2014,2,30949763.33547820757
4,Agriculture,2015,1,30989242.38377995254
4,Agriculture,2015,4,29321510.63194006551
4,Agriculture,2016,3,30072048.85790480091
4,Agriculture,2017,2,31119664.99703543597
4,Agriculture,2018,1,34991305.06192980352
4,Agriculture,2018,4,33564734.25133523809
4,Agriculture,2019,3,30639822.43328240198
4,Agriculture,2020,2,32007675.14609324547
4,Agriculture,2021,1,30642292.12273400655
5,Labor and Employment,2010,1,25460159.12959913390
5,Labor and Employment,2010,4,24096958.00178257399
5,Labor and Employment,2011,3,19406495.89267894868
5,Labor and Employment,2012,2,19761214.92495022524
5,Labor and Employment,2013,1,17120655.35024142433
5,Labor and Employment,2013,4,18357818.05608609761
5,Labor and Employment,2014,3,17766002.64656063694
5,Labor and Employment,2015,2,16668119.68841183649
5,Labor and Employment,2016,1,21133047.26411610549
6,Education,2015,4,17782812.89964781420
6,Education,2016,3,17324582.88048298700
6,Education,2017,2,17248033.27454777012
6,Education,2018,1,19479287.12476980529
6,Education,2018,4,16569393.84770980552
6,Education,2019,3,16775542.92048131500
6,Education,2020,2,18410023.74113730396
6,Education,2021,1,18562559.66879586639
6,Education,2021,4,19881760.42245550609
6,Education,2022,3,20421773.48599601461
6,Education,2023,2,21686887.75963715733
6,Education,2024,1,23889342.90653619030
6,Education,2024,4,21921597.75610728079
7,Environment,2010,4,53474604.24256384246
7,Environment,2011,3,46827901.39827883420
7,Environment,2012,2,47620235.43895599336
7,Environment,2013,1,44643590.84210632683
7,Environment,2013,4,44995671.64974887489
7,Environment,2014,3,45060924.83990786099
7,Environment,2015,2,45992753.76741250410
7,Environment,2016,1,42636026.07870298559
7,Environment,2016,4,37875702.07863187444
7,Environment,2017,3,34727833.43520157811
7,Environment,2018,2,38271337.45121719710
7,Environment,2019,1,37312040.73416042587
7,Environment,2019,4,39915346.37467236445
7,Environment,2020,3,38911682.85028514158
7,Environment,2021,2,40332065.00397464511
7,Environment,2022,1,45067722.65707843508
8,Energy,2021,4,50646749.98240211181
8,Energy,2022,3,52320360.05973862428
8,Energy,2023,2,61254173.34723527991
8,Energy,2024,1,63046635.42930862765
8,Energy,2024,4,62033974.15701812002
9,Immigration,2016,4,11886544.36240820070
9,Immigration,2017,3,15985588.68280506522
9,Immigration,2018,2,17957707.95609524092
9,Immigration,2019,1,15307079.30350082406
9,Immigration,2019,4,14961148.79514912038
9,Immigration,2020,3,16999652.32908375739
1,Macroeconomics,2010,2,5067775.12005326064
1,Macroeconomics,2011,1,3122928.78852358980
1,Macroeconomics,2011,4,4334538.93984017889
1,Macroeconomics,2012,3,5494543.18893216005
1,Macroeconomics,2013,2,4619015.08005023823
1,Macroeconomics,2014,1,5086385.45277832427
1,Macroeconomics,2014,4,5376106.27976871616
1,Macroeconomics,2015,3,4238543.05053737081
1,Macroeconomics,2016,2,4229631.83477166927
1,Macroeconomics,2017,1,3951950.09726245943
1,Macroeconomics,2017,4,5926051.74264693706
1,Macroeconomics,2018,3,4588083.09065171658
1,Macroeconomics,2019,2,4584522.59384035325
1,Macroeconomics,2020,1,7067959.00495131710
2,"Civil Rights, Minority Issues, and Civil Liberties",2019,4,10030296.12446472610
2,"Civil Rights, Minority Issues, and Civil Liberties",2020,3,11882240.54922437176
2,"Civil Rights, Minority Issues, and Civil Liberties",2021,2,14873442.32014840626
2,"Civil Rights, Minority Issues, and Civil Liberties",2022,1,14056089.62880872786
2,"Civil Rights, Minority Issues, and Civil Liberties",2022,4,14518582.10547380006
2,"Civil Rights, Minority Issues, and Civil Liberties",2023,3,10672556.72171736367
2,"Civil Rights, Minority Issues, and Civil Liberties",2024,2,13327455.99652636357
3,Health,2014,4,131196280.39984948694
3,Health,2015,3,132087734.41514536826
3,Health,2016,2,137056506.82036087470
3,Health,2017,1,160287436.11518297263
3,Health,2017,4,150392040.67669234875
3,Health,2018,3,151264627.46590434452
3,Health,2019,2,160033742.24783276836
3,Health,2020,1,183192769.45731859155
3,Health,2020,4,179580616.21924302720
3,Health,2021,3,187255754.60261176366
3,Health,2022,2,192151229.80132897416
3,Health,2023,1,216302177.83755313427
3,Health,2023,4,206170290.00685359595
3,Health,2024,3,196120680.31235675544
5,Labor and Employment,2020,4,22454335.17718241531
5,Labor and Employment,2021,3,28568898.82507484765
5,Labor and Employment,2022,2,31218246.63720826786
5,Labor and Employment,2023,1,32584867.77472941694
5,Labor and Employment,2023,4,32062939.67220804908
5,Labor and Employment,2024,3,30821418.44958546572
6,Education,2010,2,21088481.76196778668
6,Education,2011,1,19971180.50932521985
8,Energy,2010,2,69033080.65250308171
8,Energy,2011,1,64174572.04694894813
8,Energy,2011,4,57267805.25244881843
8,Energy,2012,3,50619987.44128261767
8,Energy,2013,2,52349355.57639964940
8,Energy,2014,1,52064271.09708464515
8,Energy,2014,4,46735007.54047966905
8,Energy,2015,3,45264748.54551582539
8,Energy,2016,2,45090685.26940751308
8,Energy,2017,1,46109494.03508713328
9,Immigration,2010,3,8049033.51238429981
9,Immigration,2011,2,8462451.85647508615
9,Immigration,2012,1,8163821.22050348536
10,Transportation,2011,4,54899059.76988850167
10,Transportation,2012,3,51031021.01680737964
10,Transportation,2013,2,45219908.41785376831
10,Transportation,2014,1,46725646.78203149755
10,Transportation,2014,4,47576647.02399823409
10,Transportation,2015,3,56159841.52299256168
10,Transportation,2016,2,53703611.66637897499
10,Transportation,2017,1,57029465.71457420880
10,Transportation,2017,4,57305839.23066486250
10,Transportation,2018,3,57926858.54430056310
10,Transportation,2019,2,54095740.64968992516
10,Transportation,2020,1,59234075.83298823741
10,Transportation,2020,4,52997057.35649254604
10,Transportation,2021,3,61870780.63714076534
10,Transportation,2022,2,60808522.47722737256
10,Transportation,2023,1,70377035.56237221431
12,Social Welfare,2011,2,10781959.32750111576
12,Social Welfare,2012,1,11668689.47850134385
12,Social Welfare,2012,4,10897666.16664082184
12,Social Welfare,2013,3,11270099.15802556246
12,Social Welfare,2014,2,11146747.25302946833
12,Social Welfare,2015,1,11358079.94140557550
12,Social Welfare,2015,4,11377983.08673034023
12,Social Welfare,2016,3,11992085.73940705815
12,Social Welfare,2017,2,10042281.95717715556
12,Social Welfare,2018,1,12974146.27753912709
13,Community Development and Housing,2010,1,13187402.07369542135
13,Community Development and Housing,2010,4,10955733.66515314675
13,Community Development and Housing,2011,3,10463020.32109910984
13,Community Development and Housing,2012,2,10795284.96266877824
13,Community Development and Housing,2013,1,10038167.74822339000
13,Community Development and Housing,2013,4,10510498.91962222621
13,Community Development and Housing,2014,3,12529973.22897013244
13,Community Development and Housing,2015,2,10070192.00497500376
13,Community Development and Housing,2016,1,11329709.99626128991
14,"Banking, Finance, and Domestic Commerce",2010,2,244279681.11598566231
14,"Banking, Finance, and Domestic Commerce",2011,1,227485003.79497992776
15,Defense,2023,4,95743099.12464824392
