swi_issue_id,issue_name,issue_description,Year,Quarter,LDA_frequency
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2014,3,178
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2015,2,159
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2016,1,170
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2016,4,173
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2017,3,191
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2018,2,220
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2019,1,238
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2013,4,1269
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2014,3,1168
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2015,2,1152
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2016,1,1161
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2012,4,277
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2013,3,267
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2014,2,282
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2015,1,247
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2015,4,259
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2016,3,275
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2017,2,268
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2018,1,302
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2018,4,305
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2019,3,315
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2020,2,479
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2021,1,426
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2021,4,405
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2022,3,411
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2023,2,411
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2024,1,424
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2015,4,156
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2016,3,187
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2017,2,194
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2018,1,211
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2018,4,209
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2019,3,258
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2020,2,248
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2021,1,308
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2024,4,397
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2010,3,172
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2011,2,148
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2012,1,133
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2012,4,136
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2013,3,175
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2014,2,183
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2015,1,167
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2010,1,3608
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2010,3,1234
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2011,2,1151
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2012,1,1174
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2012,4,1196
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2013,3,1267
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2014,2,1219
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2015,1,1103
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2015,4,1112
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2016,3,1180
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2017,2,1209
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2018,1,1360
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2018,4,1467
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2019,3,1326
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2020,2,1375
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2021,1,1310
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2010,1,753
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2010,4,688
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2016,4,256
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2017,3,282
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2018,2,314
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2019,1,316
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2019,4,305
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2020,3,472
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2021,2,401
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2022,1,421
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2022,4,393
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2023,3,409
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2024,2,421
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2011,4,139
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2012,3,136
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2013,2,191
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2014,1,178
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2014,4,160
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2015,3,163
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2016,2,183
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2017,1,190
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2017,4,194
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2018,3,208
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2019,2,246
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2020,1,235
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2010,2,190
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2011,1,139
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2018,4,3413
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2019,3,3577
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2020,2,4038
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2021,1,3988
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2021,4,4098
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2022,3,4139
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2023,2,3993
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2024,1,4069
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2024,4,3879
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2021,4,1375
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2022,3,1525
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2023,2,1754
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2024,1,1784
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2024,4,1692
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2010,2,749
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2011,1,594
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2011,4,681
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2012,3,599
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2013,2,594
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2014,1,610
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2014,4,576
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2015,3,679
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2016,2,778
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2017,1,686
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2017,4,693
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2018,3,723
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2010,1,320
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2010,4,270
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2011,3,275
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2012,2,295
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2013,1,283
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2013,4,253
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2014,3,276
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2015,2,254
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2016,1,266
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2023,4,264
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2024,3,258
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2010,4,3082
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2011,3,3049
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2012,2,2993
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2013,1,2937
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2013,4,2998
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2014,3,3030
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2015,2,3133
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2016,1,3112
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2016,4,3097
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2017,3,3468
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2018,2,3518
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2019,1,3491
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2019,4,3546
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2020,3,4033
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2021,2,4112
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2022,1,4108
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2016,4,696
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2010,3,281
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2011,2,281
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2012,1,282
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2022,4,3986
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2023,3,4049
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2024,2,4065
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2017,4,1249
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2018,3,1507
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2019,2,1341
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2020,1,1318
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2020,4,1327
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2021,3,1382
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2022,2,1500
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2023,1,1666
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2023,4,1761
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2024,3,1778
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2012,4,558
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2013,3,571
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2014,2,640
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2015,1,599
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2015,4,692
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2016,3,753
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2017,2,711
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2018,1,725
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2018,4,716
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2019,3,738
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2020,2,839
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2021,1,909
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2021,4,326
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2022,3,322
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2023,2,271
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2024,1,279
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2024,4,252
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2010,2,3352
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2011,1,3094
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2011,4,2990
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2012,3,2920
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2013,2,2996
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2014,1,3005
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2010,2,1233
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2011,1,1113
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2011,4,1160
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2012,3,1242
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2013,2,1299
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2014,1,1269
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2014,4,1111
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2015,3,1147
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2016,2,1196
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2017,1,1166
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2024,4,928
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2014,4,1335
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2015,3,1421
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2016,2,1367
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2017,1,1270
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2017,4,1306
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2016,4,1132
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2017,3,1231
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2018,2,1484
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2019,1,1329
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2019,4,1309
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2020,3,1363
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2021,2,1357
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2022,1,1438
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2022,4,1514
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2023,3,1778
4,Agriculture,"Agriculture subtopics, appropriations for agriculture agencies, and agricultural policy",2024,2,1795
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2010,3,738
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2011,2,621
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2012,1,661
6,Education,"Education subtopics, education appropriations, and education policy",2019,4,941
6,Education,"Education subtopics, education appropriations, and education policy",2020,3,947
6,Education,"Education subtopics, education appropriations, and education policy",2021,2,1052
6,Education,"Education subtopics, education appropriations, and education policy",2022,1,1089
6,Education,"Education subtopics, education appropriations, and education policy",2022,4,1049
6,Education,"Education subtopics, education appropriations, and education policy",2023,3,1103
6,Education,"Education subtopics, education appropriations, and education policy",2024,2,1159
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2010,3,1640
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2011,2,1505
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2012,1,1435
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2012,4,1329
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2013,3,1333
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2014,2,1408
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2015,1,1377
7,Environment,"Environmental subtopics, appropriations for environmental agencies, and environmental policy",2015,4,1362
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2017,4,3396
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2018,3,3526
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2019,2,3557
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2020,1,3773
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2020,4,3971
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2021,3,4195
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2022,2,4149
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2023,1,3947
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2023,4,3999
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2024,3,4043
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2020,4,816
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2021,3,1032
5,Labor and Employment,"Labor and employment subtopics, appropriations for labor agencies, and labor policy",2022,2,1039
